timestamp,KPI,asset_name,value,upper_bound,lower_bound,anomaly_score
4/26/20 14:14,Cooling Load,chiller 9,25978710,25609582,23384670,0.998003992
4/26/20 15:14,Cooling Load,chiller 9,24491222,26984704,24759792,0.9960079840319361
4/30/20 5:29,Cooling Load,chiller 9,26928000,29211776,26986864,0.9920159680638723
4/30/20 13:44,Cooling Load,chiller 9,26209840,28568590,26343678,0.9940119760479041
5/1/20 16:14,Cooling Load,chiller 9,26097770,28409188,26184276,0.9928698752228164
5/1/20 17:59,Cooling Load,chiller 9,27311624,27206866,24981954,0.9928698752228164
5/1/20 22:59,Cooling Load,chiller 9,22870648,27921918,25523994,0.9982788296041308
5/1/20 23:14,Cooling Load,chiller 9,27493122,25213224,22815300,0.9982788296041308
5/2/20 0:29,Cooling Load,chiller 9,29144366,28952722,26554798,0.9965576592082617
5/2/20 7:29,Cooling Load,chiller 9,30057640,33538928,31046340,0.9951690821256038
5/2/20 8:00,Cooling Load,chiller 9,28962322,31681230,29188642,0.9935587761674718
5/2/20 11:44,Cooling Load,chiller 9,25920260,28517906,26025318,0.9903381642512077
5/2/20 12:44,Cooling Load,chiller 9,25412884,28220794,25439582,0.9906396255850234
5/3/20 1:59,Cooling Load,chiller 9,26329460,29547052,26712444,0.9941262848751835
5/5/20 23:44,Cooling Load,chiller 9,24413396,27477276,24705084,0.9947970863683663
5/6/20 5:29,Cooling Load,chiller 9,26983692,30597456,27816244,0.9959225280326198
5/6/20 11:59,Cooling Load,chiller 9,26680510,30335464,27554252,0.9970617042115573
5/8/20 12:29,Cooling Load,chiller 9,25629444,28467076,25694884,0.9916736053288926
5/10/20 14:44,Cooling Load,chiller 9,25680876,32266658,29485446,0.9992069785884219
5/10/20 14:59,Cooling Load,chiller 9,30751876,28401700,25620488,0.9984139571768438
5/19/20 14:29,Cooling Load,chiller 9,23744042,30703234,27941182,0.9993753903810119
5/19/20 18:44,Cooling Load,chiller 9,26138062,29263540,26491348,0.9938309685379395
5/20/20 14:59,Cooling Load,chiller 9,30758750,29050848,26278656,0.9964726631393298
5/21/20 8:59,Cooling Load,chiller 9,24799360,28095210,25313998,0.9943214082907439
5/23/20 8:29,Cooling Load,chiller 9,27315202,27225076,24443864,0.9917627677100495
5/23/20 10:29,Cooling Load,chiller 9,28728704,28329972,25495364,0.9940249864204237
5/23/20 13:44,Cooling Load,chiller 9,28528914,28328884,25494276,0.9923954372623575
5/25/20 16:59,Cooling Load,chiller 9,26376346,29360768,26457696,0.9916710046850599
5/26/20 1:44,Cooling Load,chiller 9,20938500,27803848,24858620,0.9989696032972695
5/26/20 1:59,Cooling Load,chiller 9,26776746,24445744,21500516,0.9979392065945389
5/26/20 2:14,Cooling Load,chiller 9,27901500,27525226,24579998,0.994332818
5/27/20 18:59,Cooling Load,chiller 9,26653280,29891664,26930200,0.9924563884959925
